granularity,buggedType,version_name,valid,bug
Method,Most,source-assembly-1.0.0,15438,3
Method,Most,apache-stanbol-data-1.1.0,15441,0
Method,Most,apache-stanbol-commons-0.11.0,15494,6
Method,Most,apache-stanbol-enhancer-0.10.0,15500,0
Method,Most,apache-stanbol-entityhub-0.11.0,15500,0
Method,Most,apache-stanbol-contenthub-0.10.0,15642,6
Method,Most,apache-stanbol-enhancement-engines-0.10.0,19163,122
Method,Most,stanbol-reactor-1.0.0,19285,0
Method,Most,stanbol-stanbol-1.0.0,19285,0
Method,All,source-assembly-1.0.0,15435,6
Method,All,apache-stanbol-data-1.1.0,15441,0
Method,All,apache-stanbol-commons-0.11.0,15442,58
Method,All,apache-stanbol-enhancer-0.10.0,15500,0
Method,All,apache-stanbol-entityhub-0.11.0,15500,0
Method,All,apache-stanbol-contenthub-0.10.0,15611,37
Method,All,apache-stanbol-enhancement-engines-0.10.0,18739,546
Method,All,stanbol-reactor-1.0.0,19285,0
Method,All,stanbol-stanbol-1.0.0,19285,0
File,Most,source-assembly-1.0.0,2965,2
File,Most,apache-stanbol-data-1.1.0,2967,0
File,Most,apache-stanbol-commons-0.11.0,2966,5
File,Most,apache-stanbol-enhancer-0.10.0,2971,0
File,Most,apache-stanbol-entityhub-0.11.0,2971,0
File,Most,apache-stanbol-contenthub-0.10.0,3003,4
File,Most,apache-stanbol-enhancement-engines-0.10.0,3238,86
File,Most,stanbol-reactor-1.0.0,3324,0
File,Most,stanbol-stanbol-1.0.0,3324,0
File,All,source-assembly-1.0.0,2964,3
File,All,apache-stanbol-data-1.1.0,2967,0
File,All,apache-stanbol-commons-0.11.0,2961,10
File,All,apache-stanbol-enhancer-0.10.0,2971,0
File,All,apache-stanbol-entityhub-0.11.0,2971,0
File,All,apache-stanbol-contenthub-0.10.0,2994,13
File,All,apache-stanbol-enhancement-engines-0.10.0,3133,191
File,All,stanbol-reactor-1.0.0,3324,0
File,All,stanbol-stanbol-1.0.0,3324,0
