granularity,buggedType,version_name,valid,bug
Method,Most,1_0_0_alpha,1770,0
Method,Most,1_0_0_beta,1784,2
Method,Most,1_0_0_beta_2,1789,1
Method,Most,1_0_0_beta_3,2213,1
Method,Most,1_0_0_beta_4,2900,3
Method,Most,myfaces-test-project-1.0.0,2909,1
Method,Most,myfaces-test-project-1.0.1,2962,2
Method,Most,myfaces-test-project-1.0.2,2977,2
Method,Most,myfaces-test-project-1.0.3,3004,8
Method,Most,myfaces-test-project-1.0.4,3104,0
Method,Most,myfaces-test-project-1.0.5,3256,1
Method,Most,myfaces-test-project-1.0.6,3281,0
Method,Most,myfaces-test-project-1.0.7,3489,0
Method,All,1_0_0_alpha,1770,0
Method,All,1_0_0_beta,1786,0
Method,All,1_0_0_beta_2,1790,0
Method,All,1_0_0_beta_3,2214,0
Method,All,1_0_0_beta_4,2903,0
Method,All,myfaces-test-project-1.0.0,2910,0
Method,All,myfaces-test-project-1.0.1,2964,0
Method,All,myfaces-test-project-1.0.2,2979,0
Method,All,myfaces-test-project-1.0.3,3012,0
Method,All,myfaces-test-project-1.0.4,3104,0
Method,All,myfaces-test-project-1.0.5,3257,0
Method,All,myfaces-test-project-1.0.6,3281,0
Method,All,myfaces-test-project-1.0.7,3489,0
File,Most,1_0_0_alpha,257,0
File,Most,1_0_0_beta,259,0
File,Most,1_0_0_beta_2,260,0
File,Most,1_0_0_beta_3,298,0
File,Most,1_0_0_beta_4,303,0
File,Most,myfaces-test-project-1.0.0,306,0
File,Most,myfaces-test-project-1.0.1,309,0
File,Most,myfaces-test-project-1.0.2,310,0
File,Most,myfaces-test-project-1.0.3,317,0
File,Most,myfaces-test-project-1.0.4,329,0
File,Most,myfaces-test-project-1.0.5,336,0
File,Most,myfaces-test-project-1.0.6,336,0
File,Most,myfaces-test-project-1.0.7,340,0
File,All,1_0_0_alpha,257,0
File,All,1_0_0_beta,259,0
File,All,1_0_0_beta_2,260,0
File,All,1_0_0_beta_3,298,0
File,All,1_0_0_beta_4,303,0
File,All,myfaces-test-project-1.0.0,306,0
File,All,myfaces-test-project-1.0.1,309,0
File,All,myfaces-test-project-1.0.2,310,0
File,All,myfaces-test-project-1.0.3,317,0
File,All,myfaces-test-project-1.0.4,329,0
File,All,myfaces-test-project-1.0.5,336,0
File,All,myfaces-test-project-1.0.6,336,0
File,All,myfaces-test-project-1.0.7,340,0
